__[83]   _བསྟན་_58   __83   __83   __83   __83
__[83]   _འགྱུར_58   __83   __83   __83   __83
__33   _།\n_58   __33   _བསྟན་_[75]   _བསྟན་_75   _བསྟན་_75
__33   _རྒྱུད_58   __33   _འགྱུར_[75]   _འགྱུར_75   _འགྱུར_75
__33   _། ༼_58   __33   _། _[75]   _། _75   _། _75
__33   _དུ\n\n_58   __33   _རྒྱུད \n_[75]   _རྒྱུད \n_75   _རྒྱུད \n_75
_ཅད་_[100]   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100   _ཅད་_100
_མཉེས་_[100]   _མཉེས་_100   _མཉེས་_100   _མཉེས་_100   _མཉེས་_100   _མཉེས་_100
_པར་_[100]   _པར་_100   _པར་_100   _པར་_100   _པར་_100   _པར་_100
_བྱ་_[100]   _བྱ་_100   _བྱ་_100   _བྱ་_100   _བྱ་_100   _བྱ་_100
_སྟེ_[100]   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_གཟའ་_[100]   _གཟའ་_100   _གཟའ་_100   _གཟའ་_100   _གཟའ་_100   _གཟའ་_100
_དང་_[100]   _དང་_100   _དང་_100   _དང་_100   _དང་_100   _དང་_100
_ཉི་_[100]   _ཉི་_100   _ཉི་_100   _ཉི་_100   _ཉི་_100   _ཉི་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_དང་_[100]   _དང་_100   _དང་_100   _དང་_100   _དང་_100   _དང་_100
_སྐར་_[100]   _སྐར་_100   _སྐར་_100   _སྐར་_100   _སྐར་_100   _སྐར་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_བཟང་_[100]   _བཟང་_100   _བཟང་_100   _བཟང་_100   _བཟང་_100   _བཟང་_100
_པོ་_[100]   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100   _པོ་_100
_ལ_[100]   _ལ_100   _ལ_100   _ལ_100   _ལ_100   _ལ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_མཁོ་_[100]   _མཁོ་_100   _མཁོ་_100   _མཁོ་_100   _མཁོ་_100   _མཁོ་_100
_བའི་\n_[100]   _བའི་\n_100   _བའི་\n_100   _བའི་\n_100   _བའི་\n_100   _བའི་\n_100
_ཡོ་_[100]   _ཡོ་_100   _ཡོ་_100   _ཡོ་_100   _ཡོ་_100   _ཡོ་_100
_བྱད་_[100]   _བྱད་_100   _བྱད་_100   _བྱད་_100   _བྱད་_100   _བྱད་_100
_ཅི་_[100]   _ཅི་_100   _ཅི་_100   _ཅི་_100   _ཅི་_100   _ཅི་_100
_འབྱོར་_[100]   _འབྱོར་_100   _འབྱོར་_100   _འབྱོར་_100   _འབྱོར་_100   _འབྱོར་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_བསོགས་_[100]   _བསོགས་_100   _བསོགས་_100   _བསོགས་_100   _བསོགས་_100   _བསོགས་_100
_ལ_[100]   _ལ_100   _ལ_100   _ལ_100   _ལ_100   _ལ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ནགས་_[100]   _ནགས་_100   _ནགས་_100   _ནགས་_100   _ནགས་_100   _ནགས་_100
_ཚལ་_[100]   _ཚལ་_100   _ཚལ་_100   _ཚལ་_100   _ཚལ་_100   _ཚལ་_100
_ལམ_[100]   _ལམ_100   _ལམ_100   _ལམ_100   _ལམ_100   _ལམ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_རི་_[100]   _རི་_100   _རི་_100   _རི་_100   _རི་_100   _རི་_100
_བོའམ_[100]   _བོའམ_100   _བོའམ_100   _བོའམ_100   _བོའམ_100   _བོའམ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ཆུ་_[100]   _ཆུ་_100   _ཆུ་_100   _ཆུ་_100   _ཆུ་_100   _ཆུ་_100
_ཀླུང་_[100]   _ཀླུང་_100   _ཀླུང་_100   _ཀླུང་_100   _ཀླུང་_100   _ཀླུང་_100
_ངམ_[100]   _ངམ_100   _ངམ_100   _ངམ_100   _ངམ_100   _ངམ_100
_།\n_[100]   _།\n_100   _།\n_100   _།\n_100   _།\n_100   _།\n_100
_ཚང་_[100]   _ཚང་_100   _ཚང་_100   _ཚང་_100   _ཚང་_100   _ཚང་_100
_ཚིང་_[100]   _ཚིང་_100   _ཚིང་_100   _ཚིང་_100   _ཚིང་_100   _ཚིང་_100
_ལ་_[100]   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100
_སོགས་_[100]   _སོགས་_100   _སོགས་_100   _སོགས་_100   _སོགས་_100   _སོགས་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_ཉམས་_[100]   _ཉམས་_100   _ཉམས་_100   _ཉམས་_100   _ཉམས་_100   _ཉམས་_100
_དགའ་_[100]   _དགའ་_100   _དགའ་_100   _དགའ་_100   _དགའ་_100   _དགའ་_100
_བའི་_[100]   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100
_གནས་_[100]   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100
_སུ་_[100]   _སུ་_100   _སུ་_100   _སུ་_100   _སུ་_100   _སུ་_100
_གནས་_[100]   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100
_པར་_[100]   _པར་_100   _པར་_100   _པར་_100   _པར་_100   _པར་_100
_བྱས་_[100]   _བྱས་_100   _བྱས་_100   _བྱས་_100   _བྱས་_100   _བྱས་_100
_ལ་_[100]   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100
_སྟན་_[100]   _སྟན་_100   _སྟན་_100   _སྟན་_100   _སྟན་_100   _སྟན་_100
_བདེ་_[100]   _བདེ་_100   _བདེ་_100   _བདེ་_100   _བདེ་_100   _བདེ་_100
_བ་\n_[100]   _བ་\n_100   _བ་\n_100   _བ་\n_100   _བ་\n_100   _བ་\n_100
_ལ་_[100]   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100   _ལ་_100
_འདུག་_[100]   _འདུག་_100   _འདུག་_100   _འདུག་_100   _འདུག་_100   _འདུག་_100
_སྟེ_[100]   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_རང་_[100]   _རང་_100   _རང་_100   _རང་_100   _རང་_100   _རང་_100
_གི་_[100]   _གི་_100   _གི་_100   _གི་_100   _གི་_100   _གི་_100
_སྒོ་_[100]   _སྒོ་_100   _སྒོ་_100   _སྒོ་_100   _སྒོ་_100   _སྒོ་_100
_དག་_[100]   _དག་_100   _དག་_100   _དག་_100   _དག་_100   _དག་_100
_པར་_[100]   _པར་_100   _པར་_100   _པར་_100   _པར་_100   _པར་_100
_བྱས་_[100]   _བྱས་_100   _བྱས་_100   _བྱས་_100   _བྱས་_100   _བྱས་_100
_ནས་_[100]   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100   _ནས་_100
_མོས་_[100]   _མོས་_100   _མོས་_100   _མོས་_100   _མོས་_100   _མོས་_100
_པའི་_[100]   _པའི་_100   _པའི་_100   _པའི་_100   _པའི་_100   _པའི་_100
_སློབ་_[100]   _སློབ་_100   _སློབ་_100   _སློབ་_100   _སློབ་_100   _སློབ་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_རུངས་_[100]   _རུངས་_100   _རུངས་_100   _རུངས་_100   _རུངས་_100   _རུངས་_100
_པ་_[100]   _པ་_100   _པ་_100   _པ་_100   _པ་_100   _པ་_100
_འདུལ་\n_[100]   _འདུལ་\n_100   _འདུལ་\n_100   _འདུལ་\n_100   _འདུལ་\n_100   _འདུལ་\n_100
_བའི་_[100]   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100
_རྒྱལ་_[100]   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100   _རྒྱལ་_100
_པོར་_[100]   _པོར་_100   _པོར་_100   _པོར་_100   _པོར་_100   _པོར་_100
_གནས་_[100]   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100   _གནས་_100
_པར་_[100]   _པར་_100   _པར་_100   _པར་_100   _པར་_100   _པར་_100
_བྱ་_[100]   _བྱ་_100   _བྱ་_100   _བྱ་_100   _བྱ་_100   _བྱ་_100
_སྟེ_[100]   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100   _སྟེ_100
_། _[100]   _། _100   _། _100   _། _100   _། _100   _། _100
_ཏྟྭཾ་_40   _ཧཱུཾ་_[63]   _ཧཱུཾ་_63   _ཧཱུཾ་_63   _ཧཱུཾ་_63   _ཧཱུཾ་_63
_གི་_[100]   _གི་_100   _གི་_100   _གི་_100   _གི་_100   _གི་_100
_མཚན་_[100]   _མཚན་_100   _མཚན་_100   _མཚན་_100   _མཚན་_100   _མཚན་_100
_མ་_[100]   _མ་_100   _མ་_100   _མ་_100   _མ་_100   _མ་_100
_ལས་_[100]   _ལས་_100   _ལས་_100   _ལས་_100   _ལས་_100   _ལས་_100
_བྱུང་_[100]   _བྱུང་_100   _བྱུང་_100   _བྱུང་_100   _བྱུང་_100   _བྱུང་_100
_བའི་_[100]   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100   _བའི་_100
_ཁྲོ་_[100]   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100   _ཁྲོ་_100
_བོ་_[100]   _བོ་_100   _བོ་_100   _བོ་_100   _བོ་_100   _བོ་_100
_གཤིན་_[91]   _ྋགཤིན་_40   _གཤིན་_91   _གཤིན་_91   _གཤིན་_91   _གཤིན་_91
_རྗེ་\n_[100]   _རྗེ་\n_100   _རྗེ་\n_100   _རྗེ་\n_100   _རྗེ་\n_100   _རྗེ་\n_100
_གཤེད་_[100]   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100   _གཤེད་_100
_དུ་_[100]   _དུ་_100   _དུ་_100   _དུ་_100   _དུ་_100   _དུ་_100
_སྐད་_[100]   _སྐད་_100   _སྐད་_100   _སྐད་_100   _སྐད་_100   _སྐད་_100
_ཅིག་_[100]   _ཅིག་_100   _ཅིག་_100   _ཅིག་_100   _ཅིག་_100   _ཅིག་_100
_གིས་_[100]   _གིས་_100   _གིས་_100   _གིས་_100   _གིས་_100   _གིས་_100
_བདག་_[100]   _བདག་_100   _བདག་_100   _བདག་_100   _བདག་_100   _བདག་_100
_ཉིད་_[100]   _ཉིད་_100   _ཉིད་_100   _ཉིད་_100   _ཉིད་_100   _ཉིད་_100
